Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-17,2017,1,1,,3.1,,-0.5,,1.3,,16.7,,0,,,M,,M,0,,3,,,M,,M
02-01-17,2017,1,2,,5.5,,0.7,,3.1,,14.9,,0,,,M,,M,0,,3,,,M,,M
03-01-17,2017,1,3,,4.8,,2.4,,3.6,,14.4,,0,,,M,,M,11.3,,1,,,M,,M
04-01-17,2017,1,4,,3.8,,-7.6,,-1.9,,19.9,,0,,,M,,M,0.6,,,,,M,,M
05-01-17,2017,1,5,,-5.3,,-10.3,,-7.8,,25.8,,0,,,M,,M,0,,,,,M,,M
06-01-17,2017,1,6,,-5.9,,-11.8,,-8.9,,26.9,,0,,,M,,M,0,,,,,M,,M
07-01-17,2017,1,7,,-6.4,,-11.8,,-9.1,,27.1,,0,,,M,,M,0,,,,,M,,M
08-01-17,2017,1,8,,-8.2,,-11.1,,-9.7,,27.7,,0,,,M,,M,0,,,,,M,,M
09-01-17,2017,1,9,,-1.2,,-8.5,,-4.9,,22.9,,0,,,M,,M,0,,,,,M,,M
10-01-17,2017,1,10,,7.1,,-1.7,,2.7,,15.3,,0,,,M,,M,18.3,,,,,M,,M
11-01-17,2017,1,11,,8.2,,1.9,,5.1,,12.9,,0,,,M,,M,4.3,,,,,M,,M
12-01-17,2017,1,12,,9.8,,-1,,4.4,,13.6,,0,,,M,,M,15.6,,,,,M,,M
13-01-17,2017,1,13,,-0.6,,-7.8,,-4.2,,22.2,,0,,,M,,M,0,,,,,M,,M
14-01-17,2017,1,14,,-2.1,,-8.5,,-5.3,,23.3,,0,,,M,,M,0,,,,,M,,M
15-01-17,2017,1,15,,0.5,,-4.4,,-2,,20,,0,,,M,,M,0,,,,,M,,M
16-01-17,2017,1,16,,3.7,,-4,,-0.2,,18.2,,0,,,M,,M,0,,,,,M,,M
17-01-17,2017,1,17,,2.6,,1.2,,1.9,,16.1,,0,,,M,,M,13.5,,,,,M,,M
18-01-17,2017,1,18,,4.5,,1.8,,3.2,,14.8,,0,,,M,,M,0.4,,,,,M,,M
19-01-17,2017,1,19,,4.2,,2,,3.1,,14.9,,0,,,M,,M,0,,0,T,,M,,M
20-01-17,2017,1,20,,4.2,,1.9,,3.1,,14.9,,0,,,M,,M,0,,,,,M,,M
